UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_00001,NA,NA
cscs_00002,NA,NA
cscs_00003,NA,NA
cscs_00005,32,A few times a week
cscs_00006,NA,Daily or almost daily
cscs_00007,NA,NA
cscs_00008,31,Monthly
cscs_00009,NA,NA
cscs_00010,NA,A few times a week
cscs_00011,NA,NA
cscs_00012,NA,Daily or almost daily
cscs_00013,NA,NA
cscs_00014,NA,NA
cscs_00015,NA,Daily or almost daily
cscs_00016,25,A few times a week
cscs_00017,NA,NA
cscs_00018,NA,NA
cscs_00019,25,Monthly
cscs_00020,NA,A few times a week
cscs_00021,NA,Daily or almost daily
cscs_00021,NA,NA
cscs_00021,NA,A few times a week
cscs_00022,NA,NA
cscs_00023,NA,NA
cscs_00024,NA,A few times a week
cscs_00025,33,Less than monthly
cscs_00027,25,Daily or almost daily
cscs_00028,NA,NA
cscs_00029,NA,NA
cscs_00030,NA,NA
cscs_00031,NA,Weekly
cscs_00032,NA,A few times a month
cscs_00033,16,A few times a week
cscs_00034,NA,NA
cscs_00035,NA,NA
cscs_00036,35,A few times a month
cscs_00038,NA,A few times a week
cscs_00039,22,Less than monthly
cscs_00040,NA,Weekly
cscs_00041,NA,Weekly
cscs_00043,NA,Less than monthly
cscs_00045,31,NA
cscs_00046,NA,NA
cscs_00047,NA,Daily or almost daily
cscs_00048,NA,NA
cscs_00049,NA,NA
cscs_00050,NA,NA
cscs_00051,8,A few times a month
cscs_00052,NA,NA
cscs_00053,NA,NA
cscs_00054,28,NA
cscs_00055,NA,Daily or almost daily
cscs_00056,35,A few times a month
cscs_00057,31,Daily or almost daily
cscs_00058,28,NA
cscs_00059,NA,NA
cscs_00060,NA,NA
cscs_00061,NA,NA
cscs_00062,NA,NA
cscs_00063,NA,NA
cscs_00064,NA,A few times a month
cscs_00065,NA,Daily or almost daily
cscs_00066,NA,NA
cscs_00067,26,NA
cscs_00068,NA,A few times a month
cscs_00069,NA,A few times a month
cscs_00070,29,Weekly
cscs_00071,NA,NA
cscs_00072,NA,NA
cscs_00073,NA,NA
cscs_00074,NA,Daily or almost daily
cscs_00074,NA,Daily or almost daily
cscs_00075,25,A few times a week
cscs_00076,NA,NA
cscs_00077,NA,A few times a month
cscs_00078,20,A few times a week
cscs_00079,NA,Monthly
cscs_00080,NA,A few times a week
cscs_00080,NA,Daily or almost daily
cscs_00081,NA,A few times a week
cscs_00081,NA,Daily or almost daily
cscs_00082,NA,Weekly
cscs_00083,28,Weekly
cscs_00084,NA,Weekly
cscs_00085,NA,NA
cscs_00086,NA,Monthly
cscs_00087,15,A few times a week
cscs_00088,NA,NA
cscs_00089,NA,NA
cscs_00090,NA,NA
cscs_00091,NA,Daily or almost daily
cscs_00092,NA,Weekly
cscs_00093,27,A few times a week
cscs_00094,NA,Less than monthly
cscs_00095,NA,NA
cscs_00096,NA,A few times a week
cscs_00097,15,A few times a week
cscs_00098,NA,Weekly
cscs_00099,NA,NA
cscs_00100,NA,NA
cscs_00101,NA,NA
cscs_00103,39,NA
cscs_00104,NA,Not in the past three months
cscs_00105,28,Daily or almost daily
cscs_00106,NA,A few times a week
cscs_00106,NA,Weekly
cscs_00106,NA,A few times a month
cscs_00107,33,Daily or almost daily
